,precision,recall,f1-score,support
MildDemented,0.9683544303797469,0.8547486033519553,0.9080118694362018,358.0
ModerateDemented,0.9122401847575058,0.9974747474747475,0.9529553679131485,396.0
NonDemented,0.856396866840731,0.82,0.8378033205619412,400.0
VeryMildDemented,0.7914691943127962,0.835,0.8126520681265206,400.0
accuracy,0.8770913770913771,0.8770913770913771,0.8770913770913771,0.8770913770913771
macro avg,0.8821151690726949,0.8768058377066756,0.8778556565094531,1554.0
weighted avg,0.879706836358644,0.8770913770913771,0.8768473168771892,1554.0
